human,rat
SPTBN5,SPTBN5
ZNF771,ZFP771
PRR16,PRR16
NGRN,NGRN
THEM6,THEM6
DACT1,DACT1
CRNKL1,CRNKL1
ZBTB7A,ZBTB7A
FZR1,FZR1
TAOK3,TAOK3
KRT76,KRT76
MBTPS2,MBTPS2
HOOK1,HOOK1
CDC40,CDC40
CHST15,CHST15
ZMYND10,ZMYND10
PLA1A,PLA1A
UBR5,UBR5
POP5,POP5
TEX264,TEX264
POMP,POMP
TMA7,TMA7
MRPS17,MRPS17
ATRAID,ATRAID
SNX7,SNX7
UCHL5,UCHL5
ANGPT4,ANGPT4
CRLF3,CRLF3
CSAD,CSAD
ATP6V1D,ATP6V1D
WNT16,WNT16
EIF3L,EIF3L
NIP7,NIP7
RWDD1,RWDD1
AIG1,AIG1
TRPV2,TRPV2
COMMD10,COMMD10
WDR83OS,WDR83OS
TRAPPC4,TRAPPC4
PPME1,PPME1
NOL7,NOL7
HEMK1,HEMK1
BIN2,BIN2
ACTL6B,ACTL6B
AMOTL2,AMOTL2
PRKAG2,PRKAG2
POLK,POLK
DDX41,DDX41
SNX9,SNX9
SUCO,SUCO
ANAPC5,ANAPC5
ANAPC7,ANAPC7
SCARA3,SCARA3
MAGEC2,MAGEC2
FAM8A1,FAM8A1
HPCAL4,HPCAL4
YTHDF2,YTHDF2
VGLL1,VGLL1
RNF138,RNF138
IP6K2,IP6K2
PCYOX1,PCYOX1
PRRX2,PRRX2
LCMT1,LCMT1
GULP1,GULP1
REV1,REV1
RHCG,RHCG
SFMBT1,SFMBT1
UBE2J1,UBE2J1
EVL,EVL
DCDC2,DCDC2A
LIMA1,LIMA1
CABP2,CABP2
ISYNA1,ISYNA1
HSD17B7,HSD17B7
ANKFY1,ANKFY1
SPOUT1,SPOUT1
NOP16,NOP16
RTCB,RTCB
HACD3,HACD3
CTDSPL2,CTDSPL2
NELFCD,NELFCD
TRIAP1,TRIAP1
HIKESHI,HIKESHI
CWC15,CWC15
TRMT112,TRMT112
UFC1,UFC1
RTF2,RTF2
CHMP5,CHMP5
GTSE1,GTSE1
DTL,DTL
NCKIPSD,NCKIPSD
LARS1,LARS1
TMEM14C,TMEM14C
CXXC5,CXXC5
TMEM138,TMEM138
OSER1,OSER1
GSKIP,GSKIP
JKAMP,JKAMP
ANAPC11,ANAPC11
ZC3HC1,ZC3HC1
TRMO,TRMO
PHF7,PHF7
VTA1,VTA1
PPHLN1,PPHLN1
MTFP1,MTFP1
ZCCHC17,ZCCHC17
SCLY,SCLY
VPS54,VPS54
SIRT7,SIRT7
SIRT6,SIRT6
CINP,CINP
RAB14,RAB14
ACKR4,ACKR4
PEX5L,PEX5L
LGSN,LGSN
NT5DC3,NT5DC3
RAB6B,RAB6B
IL23A,IL23A
MBIP,MBIP
HDAC7,HDAC7
ARMCX3,ARMCX3
TDP2,TDP2
UFM1,UFM1
CYRIB,CYRIB
GDE1,GDE1
LARP7,LARP7
ESF1,ESF1
AZIN1,AZIN1
PCF11,PCF11
MED15,MED15
PIAS4,PIAS4
TRIM33,TRIM33
SRRT,SRRT
NBAS,NBAS
CUTA,CUTA
LSR,LSR
LIPT1,LIPT1
NOP58,NOP58
METTL13,METTL13
PIGT,PIGT
TRMT6,TRMT6
ATP6V1H,ATP6V1H
GET4,GET4
DPH5,DPH5
ERGIC3,ERGIC3
TAF9B,TAF9B
NSG2,NSG2
KLF13,KLF13
CCZ1,CCZ1
DYNC2LI1,DYNC2LI1
SLC25A39,SLC25A39
LUC7L2,LUC7L2
OTUD6B,OTUD6B
RBMX2,RBMX2
DHRS7,DHRS7
RTRAF,RTRAF
SF3B6,SF3B6
MRPL48,MRPL48
TMBIM4,TMBIM4
PPIL1,PPIL1
YPEL5,YPEL5
CIAO2B,CIAO2B
MRPS23,MRPS23
MRPS33,MRPS33
PTRH2,PTRH2
CHMP3,CHMP3
CDK5RAP1,CDK5RAP1
RASD1,RASD1
STYXL1,STYXL1
GINS2,GINS2
MPC1,MPC1
FKBP7,FKBP7
ZFR,ZFR
ASB1,ASB1
ASB4,ASB4
NUB1,NUB1
IFT25,IFT25
SARAF,SARAF
TPPP3,TPPP3
ASB2,ASB2
PALS2,PALS2
SUFU,SUFU
OAZ3,OAZ3
LSM7,LSM7
LSM8,LSM8
CPSF3,CPSF3
TRAPPC2L,TRAPPC2L
HECA,HECA
VPS29,VPS29
CYB5R2,CYB5R2
NLK,NLK
PADI3,PADI3
ACSL5,ACSL5
GPRC5B,GPRC5B
EMCN,EMCN
CYB5R1,CYB5R1
SELENOT,SELENOT
RAB23,RAB23
CAB39,CAB39
UIMC1,UIMC1
FBXO40,FBXO40
DNAJB11,DNAJB11
CMPK1,CMPK1
POLR3K,POLR3K
WBP11,WBP11
UPB1,UPB1
MSRB1,MSRB1
RAPGEF6,RAPGEF6
GHRL,GHRL
WWOX,WWOX
ARID4B,ARID4B
CD244,CD244
LUC7L3,LUC7L3
RTEL1,RTEL1
HIGD1B,HIGD1B
ERAP1,ERAP1
TMEM8B,TMEM8B
CDK12,CDK12
C9ORF78,C3H9ORF78
SYT17,SYT17
ATP8A2,ATP8A2
RAB8B,RAB8B
INPP5K,INPP5K
GNG13,GNG13
STK26,STK26
TM7SF3,TM7SF3
RSF1,RSF1
MAP3K20,MAP3K20
MYOZ2,MYOZ2
KDM3B,KDM3B
ASIC5,ASIC5
SIX4,SIX4
COQ3,COQ3
CALML5,CALML5
TUBA8,TUBA8
PHAX,PHAX
GALNT7,GALNT7
BCL11A,BCL11A
BTBD1,BTBD1
SPA17,SPA17
IL17D,IL17D
NUDT9,NUDT9
CHIC1,CHIC1
TM6SF2,TM6SF2
TM6SF1,TM6SF1
UBASH3A,UBASH3A
ZFYVE1,ZFYVE1
LRP1B,LRP1B
PANK1,PANK1
SHC3,SHC3
NUP54,NUP54
TPCN1,TPCN1
CLIC5,CLIC5
STX18,STX18
MBD3,MBD3
ADAM22,ADAM22
BCO1,BCO1
PRKAG3,PRKAG3
PTOV1,PTOV1
S1PR5,S1PR5
RIPPLY3,RIPPLY3
FXYD7,FXYD7
FXYD6,FXYD6
FXYD5,FXYD5
FXYD4,FXYD4
P2RY13,P2RY13
GPR84,GPR84
IL20RA,IL20RA
IL20RB,IL20RB
FGFRL1,FGFRL1
GPR87,GPR87
C11ORF24,C1H11ORF24
TRIM34,TRIM34
CDHR5,CDHR5
CLDN22,CLDN22
MYO3A,MYO3A
DUOX1,DUOX1
RAB4B,RAB4B
RAB24,RAB24
PELO,PELO
SLCO1C1,SLCO1C1
PPIL3,PPIL3
CNTN5,CNTN5
CSNK1G1,CSNK1G1
A4GALT,A4GALT
CPSF2,CPSF2
BRWD1,BRWD1
SLC37A1,SLC37A1
RBM11,RBM11
PCBP3,PCBP3
C21ORF58,C20H21ORF58
YBEY,YBEY
SMIM11,SMIM11
MIS18A,MIS18A
TSPEAR,TSPEAR
SETD4,SETD4
FAM3B,FAM3B
RIPK4,RIPK4
CLIC6,CLIC6
GSAP,GSAP
TLR9,TLR9
POLE3,POLE3
CHRAC1,CHRAC1
GPR88,GPR88
MRPL39,MRPL39
C21ORF91,C11H21ORF91
DCUN1D1,DCUN1D1
NANS,NANS
CYCS,CYCS
ERRFI1,ERRFI1
KCNK10,KCNK10
TREM2,TREM2
TREM1,TREM1
SNTG1,SNTG1
SNTG2,SNTG2
GPR173,GPR173
GPR85,GPR85
GNG2,GNG2
GDAP1,GDAP1
DPM3,DPM3
SOX18,SOX18
UNC93A,UNC93A
CYTL1,CYTL1
WNT4,WNT4
HAO1,HAO1
TERF2IP,TERF2IP
SLC38A2,SLC38A2
NLGN3,NLGN3
SIAE,SIAE
DNAJC10,DNAJC10
YIPF1,YIPF1
GAR1,GAR1
SSH1,SSH1
SH3TC1,SH3TC1
SEMA5B,SEMA5B
GFOD1,GFOD1
RBM27,RBM27
SASH3,SASH3
KCTD5,KCTD5
ANLN,ANLN
RIN2,RIN2
ATAD2B,ATAD2B
FBXO42,FBXO42
MOV10L1,MOV10L1
TAF7L,TAF7L
PRR13,PRR13
MRPS21,MRPS21
FBXW5,FBXW5
CCSER2,CCSER2
RETREG1,RETREG1
XRN1,XRN1
ETAA1,ETAA1
ANKIB1,ANKIB1
MIOS,MIOS
ZFAND6,ZFAND6
ARMCX6,ARMCX6
MIEF1,MIEF1
TOLLIP,TOLLIP
KRT20,KRT20
NLE1,NLE1
RNF216,RNF216
PLEKHA5,PLEKHA5
PIMREG,PIMREG
CHPF2,CHPF2
TRMT13,TRMT13
DGCR8,DGCR8
OTULINL,OTULINL
NEURL1B,NEURL1B
C11ORF71,C8H11ORF71
TMX3,TMX3
PRMT7,PRMT7
HEATR5B,HEATR5B
SMOX,SMOX
TMCO1,TMCO1
RBM47,RBM47
ZDHHC13,ZDHHC13
CPVL,CPVL
DHX29,DHX29
ADAMTSL4,ADAMTSL4
RHOF,RHOF
PCDH18,PCDH18
HMGCLL1,HMGCLL1
EXOSC4,EXOSC4
DDX4,DDX4
MTRF1L,MTRF1L
PUS7,PUS7
APBB1IP,APBB1IP
CCDC93,CCDC93
WDR44,WDR44
ANKRD16,ANKRD16
ASNSD1,ASNSD1
MIER2,MIER2
USP53,USP53
MRPL50,MRPL50
CCHCR1,CCHCR1
EXOC6,EXOC6
SHLD2,SHLD2
ROBO4,ROBO4
NDUFB11,NDUFB11
FAM193B,FAM193B
DDIT4,DDIT4
RC3H2,RC3H2
TOMM7,TOMM7
CRCT1,CRCT1
MTMR12,MTMR12
RNF186,RNF186
SDK2,SDK2
NECAB2,NECAB2
MAGEL2,MAGEL2
GNL3L,GNL3L
WDR5B,WDR5B
DDX49,DDX49
ING3,ING3
SGTB,SGTB
SPATA6,SPATA6
EPB41L4B,EPB41L4B
DLL4,DLL4
UGT1A8,UGT1A8
UGT1A2P,UGT1A2
EGLN1,EGLN1
GNB1L,GNB1L
LZTFL1,LZTFL1
EQTN,EQTN
MXRA8,MXRA8
L1TD1,L1TD1
NDFIP2,NDFIP2
DDX56,DDX56
INO80,INO80
CCNJ,CCNJ
FBXL19,FBXL19
VSIG10,VSIG10
ARL15,ARL15
PAF1,PAF1
PARP14,PARP14
HES2,HES2
MAP10,MAP10
MINDY2,MINDY2
UGT1A1,UGT1A1
TBC1D13,TBC1D13
WDR74,WDR74
TMEM106B,TMEM106B
RSBN1,RSBN1
LRRN3,LRRN3
CRLS1,CRLS1
GTPBP2,GTPBP2
CROT,CROT
ZNHIT6,ZNHIT6
P4HTM,P4HTM
MANSC1,MANSC1
RRN3,RRN3
PDP1,PDP1
GPN2,GPN2
MARCHF5,MARCHF5
CNGB3,CNGB3
RBFOX1,RBFOX1
SLC6A20,SLC6A20A
OTUD4,OTUD4
NKX1-1,NKX1-1
TMED9,TMED9
SLC35F2,SLC35F2
RAB39A,RAB39A
MPHOSPH8,MPHOSPH8
FEV,FEV
XAF1,XAF1
LEPROT,LEPROT
LY6K,LY6K
EPDR1,EPDR1
FBLIM1,FBLIM1
FNDC8,FNDC8
ZNF853,ZFP853
NUTM2F,NUTM2
IL17RD,IL17RD
FAM20A,FAM20A
KLHDC4,KLHDC4
PCSK4,PCSK4
GRAMD1C,GRAMD1C
ROPN1,ROPN1
ZRANB1,ZRANB1
TRIM44,TRIM44
BTG4,BTG4
HYDIN,HYDIN
DIRAS2,DIRAS2
PPP1R12C,PPP1R12C
CFAP46,CFAP46
RNF111,RNF111
NSMCE4A,NSMCE4A
ALKBH4,ALKBH4
BORCS6,BORCS6
DNAJB12,DNAJB12
TET2,TET2
KCTD9,KCTD9
TRPM4,TRPM4
BNC2,BNC2
MED18,MED18
DCHS2,DCHS2
MBTD1,MBTD1
KLHL24,KLHL24
HAUS6,HAUS6
TRIT1,TRIT1
CNNM2,CNNM2
AHI1,AHI1
DYM,DYM
SAMD9,SAMD9
GIPC2,GIPC2
AFTPH,AFTPH
KLHL28,KLHL28
QPCTL,QPCTL
GATAD2A,GATAD2A
ZNF280D,ZFP280D
ZCCHC10,ZCCHC10
NDE1,NDE1
ERCC6L,ERCC6L
TRPM7,TRPM7
SWT1,SWT1
CDHR2,CDHR2
GIN1,GIN1
NXPE4,NXPE4
BCAS3,BCAS3
ASPN,ASPN
NUP62CL,NUP62CL
BEST2,BEST2
VPS13C,VPS13C
GDAP2,GDAP2
BSPRY,BSPRY
WBP1L,WBP1L
LRRC49,LRRC49
APTX,APTX
BIVM,BIVM
MFSD6,MFSD6
SYTL2,SYTL2
ESRP1,ESRP1
SIDT1,SIDT1
ARHGEF38,ARHGEF38
DEF8,DEF8
FBXL12,FBXL12
ANKRD49,ANKRD49
PAQR5,PAQR5
WDR55,WDR55
SACK1E,SACK1E
TENT5C,TENT5C
GON4L,GON4L
GDPD2,GDPD2
PGPEP1,PGPEP1
ELP6,ELP6
SNRK,SNRK
CC2D1A,CC2D1A
TOR4A,TOR4A
GPATCH4,GPATCH4
PPP1R14D,PPP1R14D
TMEM214,TMEM214
SLC38A12,SLC38A12
EPS8L1,EPS8L1
QRICH1,QRICH1
PIGG,PIGG
PALMD,PALMD
FNBP1L,FNBP1L
CNTLN,CNTLN
ZCCHC2,ZCCHC2
DPP8,DPP8
ST7L,ST7L
BCOR,BCOR
TEX10,TEX10
ANKHD1,ANKHD1
CWC25,CWC25
RETSAT,RETSAT
TBC1D8B,TBC1D8B
PLPPR1,PLPPR1
BLTP3A,BLTP3A
NSUN2,NSUN2
ALKBH5,ALKBH5
INO80D,INO80D
NCAPG2,NCAPG2
MTMR10,MTMR10
RNF43,RNF43
SLC66A1,SLC66A1
CASZ1,CASZ1
ELOVL2,ELOVL2
PXK,PXK
LAX1,LAX1
CDKAL1,CDKAL1
TTC19,TTC19
MKS1,MKS1
NSD3,NSD3
CYP2W1,CYP2W1
TASOR2,TASOR2
SPDL1,SPDL1
SEMA4C,SEMA4C
RPP25,RPP25
FOCAD,FOCAD
YTHDF1,YTHDF1
TMEM260,TMEM260
CMTM6,CMTM6
DNAAF5,DNAAF5
DUS2,DUS2
CHTF8,CHTF8
RASIP1,RASIP1
LIME1,LIME1
UBE2R2,UBE2R2
CHCHD3,CHCHD3
BPNT2,BPNT2
TMEM161A,TMEM161A
HAUS4,HAUS4
TRMT10C,TRMT10C
RHBDL2,RHBDL2
KANSL2,KANSL2
DUSP23,DUSP23
ADPRS,ADPRS
SOHLH2,SOHLH2
SARS2,SARS2
COMMD4,COMMD4
OCIAD1,OCIAD1
RNF125,RNF125
ABITRAM,ABITRAM
DNAJC28,DNAJC28
SLC41A3,SLC41A3
LPCAT2,LPCAT2
MRPL16,MRPL16
SDHAF2,SDHAF2
COMMD8,COMMD8
TRNAU1AP,TRNAU1AP
ODR4,ODR4
FAM120C,FAM120C
AIRIM,AIRIM
PARP16,PARP16
TXNL4B,TXNL4B
TMEM160,TMEM160
ODAM,ODAM
GEMIN8,GEMIN8
SSH3,SSH3
TIPIN,TIPIN
UCKL1,UCKL1
C1ORF56,C2H1ORF56
PIGX,PIGX
TMEM70,TMEM70
HPF1,HPF1
TTC12,TTC12
BANP,BANP
TMEM132A,TMEM132A
INTS11,INTS11
THG1L,THG1L
ADISSP,ADISSP
SLC25A38,SLC25A38
SLC35F6,SLC35F6
C2ORF42,C4H2ORF42
NMRK1,NMRK1
CLN6,CLN6
PINX1,PINX1
HCFC1R1,HCFC1R1
ULK4,ULK4
CZIB,CZIB
ACSM5,ACSM5
ZNF770,ZFP770
C1ORF159,C5H1ORF159
ZSCAN2,ZSCAN2
GID8,GID8
OXSM,OXSM
MTARC2,MTARC2
TESC,TESC
AURKAIP1,AURKAIP1
TUG1,TUG1
TTC22,TTC22
SLC9D1,SLC9D1
PAK1IP1,PAK1IP1
LAMTOR1,LAMTOR1
RMND1,RMND1
TRMT61B,TRMT61B
SIRAL2,SIRAL2
HERC6,HERC6
FAM174C,FAM174C
PARPBP,PARPBP
PIH1D1,PIH1D1
PPP2R3C,PPP2R3C
MCUB,MCUB
STX17,STX17
PRPF39,PRPF39
MARCHF1,MARCHF1
C14ORF119,C15H14ORF119
ANKRD40CL,ANKRD40CL
TTC38,TTC38
PID1,PID1
PHIP,PHIP
BANK1,BANK1
TMEM255A,TMEM255A
HEATR3,HEATR3
MTNAP1,MTNAP1
FBXO34,FBXO34
USP47,USP47
SLC35A5,SLC35A5
FKBP14,FKBP14
MOCOS,MOCOS
NOL8,NOL8
CCDC40,CCDC40
PTCD3,PTCD3
CDCA4,CDCA4
TYW2,TYW2
EPN3,EPN3
PLEKHB2,PLEKHB2
VPS37C,VPS37C
REX1BD,REX1BD
NRDE2,NRDE2
MRPL20,MRPL20
ATG16L1,ATG16L1
ZWILCH,ZWILCH
CRYBG2,CRYBG2
SUSD4,SUSD4
WIPI1,WIPI1
ZCWPW1,ZCWPW1
SPATA6L,SPATA6L
PDPR,PDPR
ENOX1,ENOX1
TMEM248,TMEM248
DET1,DET1
C9ORF40,C1H9ORF40
RNF31,RNF31
OXR1,OXR1
UACA,UACA
TMEM45A,TMEM45A
FEZF2,FEZF2
TAPBPL,TAPBPL
IFT57,IFT57
ARGLU1,ARGLU1
KIF26B,KIF26B
SOBP,SOBP
RADX,RADX
CCDC186,CCDC186
SLC38A4,SLC38A4
MED9,MED9
TMEM51,TMEM51
NTAQ1,NTAQ1
GPATCH1,GPATCH1
SAMD4B,SAMD4B
WDR70,WDR70
DMAC2,DMAC2
ATG2B,ATG2B
RALGPS2,RALGPS2
GPATCH2,GPATCH2
ANO1,ANO1
BSDC1,BSDC1
AGGF1,AGGF1
MAGOHB,MAGOHB
PLEKHJ1,PLEKHJ1
DYNC2I1,DYNC2I1
XKR8,XKR8
ARHGAP17,ARHGAP17
TMEM39B,TMEM39B
SLC6A15,SLC6A15
CRTAC1,CRTAC1
PRPF38B,PRPF38B
FANCL,FANCL
AKIRIN2,AKIRIN2
PIWIL2,PIWIL2
CEP192,CEP192
HEATR1,HEATR1
TRIM68,TRIM68
ANO10,ANO10
ODAD2,ODAD2
RBM28,RBM28
LARP1B,LARP1B
SRBD1,SRBD1
WRAP53,WRAP53
FIGN,FIGN
ANKZF1,ANKZF1
ELP3,ELP3
HAUS2,HAUS2
CDCA8,CDCA8
LRRC8D,LRRC8D
THAP1,THAP1
ZDHHC4,ZDHHC4
UBR7,UBR7
MTPAP,MTPAP
TMEM38B,TMEM38B
DALRD3,DALRD3
SDAD1,SDAD1
MSTO1,MSTO1
ARMC1,ARMC1
DARS2,DARS2
RFWD3,RFWD3
ARHGEF10L,ARHGEF10L
TMEM33,TMEM33
PNPO,PNPO
SHQ1,SHQ1
CEP55,CEP55
CENPQ,CENPQ
MSL2,MSL2
MRPS18A,MRPS18A
PRMT6,PRMT6
TBCCD1,TBCCD1
DNAAF2,DNAAF2
MRPS10,MRPS10
INTS10,INTS10
KLHL11,KLHL11
SEC61A2,SEC61A2
RMDN3,RMDN3
MRM3,MRM3
FAIM,FAIM
LINS1,LINS1
SMG8,SMG8
RNF220,RNF220
RIF1,RIF1
DZANK1,DZANK1
SLC25A36,SLC25A36
VPS13D,VPS13D
RIC8B,RIC8B
NUDT11,NUDT11
NADSYN1,NADSYN1
DNAJC17,DNAJC17
PBRM1,PBRM1
EVA1B,EVA1B
CCDC198,CCDC198
RESF1,RESF1
RPRD1A,RPRD1A
APPL2,APPL2
PLEKHG6,PLEKHG6
MAP1S,MAP1S
LGI2,LGI2
GOLPH3L,GOLPH3L
ZNF532,ZFP532
SBNO1,SBNO1
ARL8B,ARL8B
DCUN1D2,DCUN1D2
SETD5,SETD5
ATAD3A,ATAD3A
DPPA4,DPPA4
BBS7,BBS7
P3H2,P3H2
FANCI,FANCI
NKAPD1,NKAPD1
TMLHE,TMLHE
EXD2,EXD2
MACO1,MACO1
KLHDC8A,KLHDC8A
LRRC20,LRRC20
TRIM62,TRIM62
ETNK2,ETNK2
RAVER2,RAVER2
NAT10,NAT10
LRRC1,LRRC1
PNMA8A,PNMA8A
PANK4,PANK4
USP40,USP40
CCDC87,CCDC87
MOB1A,MOB1A
SMU1,SMU1
UBA6,UBA6
VRTN,VRTN
SLC38A7,SLC38A7
OGFOD1,OGFOD1
STEAP3,STEAP3
KIRREL1,KIRREL1
SLC47A1,SLC47A1
UQCC1,UQCC1
CCDC25,CCDC25
NEIL3,NEIL3
PACC1,PACC1
ELP2,ELP2
PCMTD2,PCMTD2
ASXL2,ASXL2
TYW1,TYW1
TMEM39A,TMEM39A
WDR41,WDR41
ADI1,ADI1
MRGBP,MRGBP
THNSL2,THNSL2
DNAI7,DNAI7
TMEM143,TMEM143
TRAPPC14,TRAPPC14
TMEM19,TMEM19
ECHDC2,ECHDC2
PSPC1,PSPC1
NUDT15,NUDT15
IMP3,IMP3
TMEM100,TMEM100
PHF10,PHF10
VPS53,VPS53
PGM2,PGM2
FGGY,FGGY
QRSL1,QRSL1
ZNF654,ZFP654
CWF19L1,CWF19L1
TMEM140,TMEM140
LRRC36,LRRC36
MCOLN3,MCOLN3
UBE2W,UBE2W
RBM41,RBM41
PGCKA1,PGCKA1
TMEM40,TMEM40
RHOT1,RHOT1
ACOXL,ACOXL
BRF2,BRF2
PPP6R3,PPP6R3
UEVLD,UEVLD
FBXW7,FBXW7
KLHL26,KLHL26
TBC1D19,TBC1D19
CCDC91,CCDC91
RNF121,RNF121
BRIX1,BRIX1
PI4K2B,PI4K2B
OLAH,OLAH
GIMAP4,GIMAP4
SPTLC3,SPTLC3
DDX19A,DDX19A
ZNF444,ZFP444
RFK,RFK
CPPED1,CPPED1
TMEM144,TMEM144
SLC29A3,SLC29A3
RSAD1,RSAD1
AP5S1,AP5S1
TMA16,TMA16
MIS18BP1,MIS18BP1
TMEM74B,TMEM74B
C5ORF22,C2H5ORF22
LARP6,LARP6
ABCF3,ABCF3
UFSP2,UFSP2
AGPAT5,AGPAT5
LIN7C,LIN7C
RNLS,RNLS
MNS1,MNS1
BLOC1S4,BLOC1S4
ACER3,ACER3
DRAM1,DRAM1
SYNJ2BP,SYNJ2BP
SLC39A9,SLC39A9
FBXL8,FBXL8
SHFL,SHFL
WDR33,WDR33
GIMAP5,GIMAP5
LSG1,LSG1
STRBP,STRBP
SLC35C1,SLC35C1
PLCXD1,PLCXD1
ZGRF1,ZGRF1
TCP11L1,TCP11L1
ABHD10,ABHD10
CHDH,CHDH
STK32B,STK32B
COPRS,COPRS
LAPTM4B,LAPTM4B
HJURP,HJURP
SLC22A15,SLC22A15
TBC1D2,TBC1D2
STYK1,STYK1
PI4K2A,PI4K2A
TMEM63B,TMEM63B
HEMGN,HEMGN
IMPACT,IMPACT
TMEM176A,TMEM176A
LGR4,LGR4
PIDD1,PIDD1
TMCO6,TMCO6
LRRC59,LRRC59
MCM10,MCM10
NCBP3,NCBP3
GPALPP1,GPALPP1
YOD1,YOD1
AP1AR,AP1AR
STRADB,STRADB
CAMK2N1,CAMK2N1
CSGALNACT2,CSGALNACT2
DNAJA4,DNAJA4
NDUFAF7,NDUFAF7
PARL,PARL
ETNK1,ETNK1
CHST12,CHST12
HES6,HES6
TRPV6,TRPV6
TNFRSF19,TNFRSF19
NOP10,NOP10
MACROH2A2,MACROH2A2
GPRC5D,GPRC5D
SLC35E3,SLC35E3
BATF3,BATF3
DDX43,DDX43
SMPD3,SMPD3
ASIC4,ASIC4
ELAC1,ELAC1
TRIM36,TRIM36
DHTKD1,DHTKD1
FEM1A,FEM1A
PIP4P2,PIP4P2
SVOP,SVOP
ELMOD1,ELMOD1
SLC30A10,SLC30A10
MAML3,MAML3
CDCA7L,CDCA7L
IL17RB,IL17RB
RBM38,RBM38
SOX6,SOX6
ENOSF1,ENOSF1
PLXNA3,PLXNA3
HAUS7,HAUS7
CDC42BPG,CDC42BPG
ZNF821,ZFP821
DNAH3,DNAH3
GALNT10,GALNT10
CNOT11,CNOT11
FOXRED1,FOXRED1
CDV3,CDV3
STAB2,STAB2
NAGK,NAGK
SUPT20H,SUPT20H
KIF27,KIF27
CHRNA9,CHRNA9
UBE2Q1,UBE2Q1
MIOX,MIOX
MED29,MED29
BMP2K,BMP2K
VEZT,VEZT
OTUD5,OTUD5
ZCCHC8,ZCCHC8
RNPC3,RNPC3
ITLN1,ITLN1
DDX60,DDX60
CDKN2AIP,CDKN2AIP
TENT5A,TENT5A
CARMIL1,CARMIL1
KIF21A,KIF21A
PPP1R9A,PPP1R9A
ANKRD10,ANKRD10
ZNF280C,ZFP280C
VPS50,VPS50
OTUB1,OTUB1
FERMT1,FERMT1
KIF16B,KIF16B
PRR5,PRR5
ASAP3,ASAP3
TASP1,TASP1
DOCK10,DOCK10
STAP2,STAP2
TRMT1,TRMT1
TTC27,TTC27
THUMPD1,THUMPD1
POMGNT1,POMGNT1
ZDHHC7,ZDHHC7
AMBRA1,AMBRA1
SMPD4,SMPD4
ZNF407,ZFP407
PNRC2,PNRC2
SLC39A4,SLC39A4
LRRC40,LRRC40
G2E3,G2E3
TBC1D22B,TBC1D22B
DEPDC1,DEPDC1
CHD7,CHD7
SYBU,SYBU
FLVCR2,FLVCR2
BTBD2,BTBD2
OSGEP,OSGEP
LYAR,LYAR
RAB20,RAB20
PIGV,PIGV
NHP2,NHP2
SLC48A1,SLC48A1
TMEM127,TMEM127
NLRP2,NLRP2
INTS8,INTS8
ZNF692,ZFP692
RNF126,RNF126
PRPF40A,PRPF40A
DDX27,DDX27
HIF1AN,HIF1AN
CDC37L1,CDC37L1
URGCP,URGCP
NPLOC4,NPLOC4
DENND4C,DENND4C
GPATCH2L,GPATCH2L
MFN1,MFN1
PEX26,PEX26
PPP4R3A,PPP4R3A
SLC30A6,SLC30A6
IWS1,IWS1
LIMS2,LIMS2
RUFY2,RUFY2
SCYL2,SCYL2
KANSL3,KANSL3
RABL6,RABL6
MREG,MREG
TRMU,TRMU
YEATS2,YEATS2
PACS1,PACS1
FRMD4A,FRMD4A
LUC7L,LUC7L1
KDM4D,KDM4D
NSUN5,NSUN5
RBM22,RBM22
VAC14,VAC14
RADIL,RADIL
IARS2,IARS2
MAP7D1,MAP7D1
ARHGEF40,ARHGEF40
YJU2,YJU2
POLR3B,POLR3B
CCDC88A,CCDC88A
IPO9,IPO9
NDC1,NDC1
NECAP2,NECAP2
KBTBD4,KBTBD4
FAR2,FAR2
TENM3,TENM3
DOK4,DOK4
LMBR1L,LMBR1L
WDR11,WDR11
POLR3E,POLR3E
SLF2,SLF2
TSR1,TSR1
IQCC,IQCC
CEP72,CEP72
ASF1B,ASF1B
INTS13,INTS13
BTBD7,BTBD7
N4BP2,N4BP2
ATF7IP,ATF7IP
FAM222B,FAM222B
FIRRM,FIRRM
HHAT,HHAT
ZFP64,ZFP64
DNAJC11,DNAJC11
VPS35,VPS35
ARFGAP1,ARFGAP1
NAXD,NAXD
ENAH,ENAH
EDEM2,EDEM2
PARVA,PARVA
CHFR,CHFR
AP5M1,AP5M1
NUP133,NUP133
CNDP2,CNDP2
CCAR1,CCAR1
AGK,AGK
TMEM184C,TMEM184C
SEPTIN11,SEPTIN11
OGDHL,OGDHL
CDC50A,CDC50A
CDK5RAP2,CDK5RAP2
INTS9,INTS9
UGGT2,UGGT2
RCOR3,RCOR3
WDR12,WDR12
DHX32,DHX32
TTC17,TTC17
EXOC1,EXOC1
IFT122,IFT122
INAVA,INAVA
H2AJ,H2AJ
NGLY1,NGLY1
EXOC2,EXOC2
PRR11,PRR11
TBC1D23,TBC1D23
TDP1,TDP1
SAYSD1,SAYSD1
MBD5,MBD5
ZNF839,ZFP839
CFAP44,CFAP44
ERMARD,ERMARD
RIOK2,RIOK2
CMTR2,CMTR2
MCTP2,MCTP2
FGD6,FGD6
TXLNG,TXLNG
LMBRD1,LMBRD1
DEPDC1B,DEPDC1B
CSGALNACT1,CSGALNACT1
LRIF1,LRIF1
MINDY1,MINDY1
DDX28,DDX28
PCID2,PCID2
